	Time	Latitude	Longitude	Magnitude	Epicenter	Remarks	YYYY	MM	DD
287	22:09	27.86	85.29	4.1	Nuwakot	NSC	2016.0	2.0	20.0
288	14:37	27.81	85.72	4.3	Sindhupalchowk	NSC	2016.0	2.0	13.0
289	16:27	27.84	85.71	4.6	Sindhupalchowk	NSC	2016.0	2.0	10.0
290	16:20	27.95	85.52	5.5	Sindhupalchowk	NSC	2016.0	2.0	5.0
291	14:57	26.68	86.27	4.2	Siraha	NSC	2016.0	1.0	27.0
292	08:42	27.83	85.83	4.4	Sindhupalchowk	NSC	2016.0	1.0	27.0
293	19:22	28.06	85.09	4.6	Nuwakot	NSC	2016.0	1.0	22.0
294	17:14	27.65	86.23	4.3	Dolakha	NSC	2016.0	1.0	15.0
295	13:05	27.63	86.25	4.1	Dolakha	NSC	2016.0	1.0	15.0
296	17:43	27.48	86.01	4.4	Ramechhap	NSC	2016.0	1.0	9.0
297	13:02	27.75	86.12	4.1	Dolakha	NSC	2016.0	1.0	4.0
298	21:30	28.01	85.8	4.2	Sindhupalchowk	NSC	2016.0	1.0	2.0
299	01:56	27.86	85.72	4.3	Sindhupalchowk	NSC	2015.0	12.0	31.0
300	22:07	27.7	86.12	4.2	Dolakha	NSC	2015.0	12.0	28.0
301	04:48	29.35	81.29	4.1	Bajura	NSC	2015.0	12.0	26.0
302	03:14	27.79	86.08	4.1	Dolakha	NSC	2015.0	12.0	23.0
303	10:16	29.44	81.69	5.5	Bajura	NSC/RSC	2015.0	12.0	18.0
304	03:00	28.04	85.02	4.1	Dhading	NSC	2015.0	12.0	13.0
305	01:42	27.86	86.19	4.0	Dolakha	NSC	2015.0	12.0	7.0
306	00:25	27.78	85.39	4.1	Kathmandu	NSC	2015.0	11.0	30.0
307	10:37	27.11	87.95	4.6	Panchthar	NSC	2015.0	11.0	27.0
308	09:38	27.63	85.53	4.1	kavrepalanchok	NSC	2015.0	11.0	27.0
309	18:57	27.87	85.77	4.1	Sindhupalchowk	NSC	2015.0	11.0	25.0
310	12:24	28.15	84.81	4.4	Gorkha	NSC	2015.0	11.0	24.0
