,Time,Latitude,Longitude,Magnitude,Epicenter,Remarks,YYYY,MM,DD,Date
267,20:31,28.08,85.13,4.2,Nuwakot,NSC,2016,04,24,04/24/2016
268,11:04,27.79,85.85,4.0,Sindhupalchowk,NSC,2016,04,22,04/22/2016
269,06:56,27.72,86.29,4.0,Dolakha,NSC,2016,04,22,04/22/2016
270,14:41,27.56,86.17,4.4,Dolakha,NSC,2016,04,12,04/12/2016
271,13:20,27.65,85.31,4.5,Lalitpur,NSC,2016,04,09,04/09/2016
272,04:31,27.72,86.09,4.7,Dolakha,NSC,2016,04,04,04/04/2016
273,03:55,29.81,81.51,4.3,Bajhang,RSC/NSC,2016,04,04,04/04/2016
274,22:41,27.93,85.59,4.0,Sindhupalchowk,NSC,2016,03,31,03/31/2016
275,12:26,27.89,85.73,4.7,Sindhupalchowk,NSC,2016,03,30,03/30/2016
276,23:41,27.75,88.04,4.1,Taplejung,NSC,2016,03,24,03/24/2016
277,05:14,27.34,86.27,4.0,Okhaldhunga,NSC,2016,03,17,03/17/2016
278,21:27,27.84,85.73,4.5,Sindhupalchowk,NSC,2016,03,15,03/15/2016
279,05:15,27.83,84.9,4.8,Dhading,NSC,2016,03,13,03/13/2016
280,09:28,27.9,85.87,4.2,Sindhupalchowk,NSC,2016,03,11,03/11/2016
281,08:05,30.22,81.7,4.4,Humla,NSC/RSC,2016,03,07,03/07/2016
282,01:25,27.69,85.93,4.0,Sindhupalchowk,NSC,2016,03,06,03/06/2016
283,10:45,27.79,85.73,4.3,Sindhupalchowk,NSC,2016,03,01,03/01/2016
284,09:22,27.8,85.74,5.4,Sindhupalchok,NSC,2016,02,24,02/24/2016
285,03:00,27.47,87.15,4.5,Sankhuwasava,NSC,2016,02,23,02/23/2016
286,18:09,28.08,84.76,5.5,Gorkha,NSC,2016,02,21,02/21/2016
287,22:09,27.86,85.29,4.1,Nuwakot,NSC,2016,02,20,02/20/2016
288,14:37,27.81,85.72,4.3,Sindhupalchowk,NSC,2016,02,13,02/13/2016
289,16:27,27.84,85.71,4.6,Sindhupalchowk,NSC,2016,02,10,02/10/2016
290,16:20,27.95,85.52,5.5,Sindhupalchowk,NSC,2016,02,05,02/05/2016
291,14:57,26.68,86.27,4.2,Siraha,NSC,2016,01,27,01/27/2016
292,08:42,27.83,85.83,4.4,Sindhupalchowk,NSC,2016,01,27,01/27/2016
293,19:22,28.06,85.09,4.6,Nuwakot,NSC,2016,01,22,01/22/2016
294,17:14,27.65,86.23,4.3,Dolakha,NSC,2016,01,15,01/15/2016
295,13:05,27.63,86.25,4.1,Dolakha,NSC,2016,01,15,01/15/2016
296,17:43,27.48,86.01,4.4,Ramechhap,NSC,2016,01,09,01/09/2016
297,13:02,27.75,86.12,4.1,Dolakha,NSC,2016,01,04,01/04/2016
298,21:30,28.01,85.8,4.2,Sindhupalchowk,NSC,2016,01,02,01/02/2016
299,01:56,27.86,85.72,4.3,Sindhupalchowk,NSC,2015,12,31,12/31/2015
300,22:07,27.7,86.12,4.2,Dolakha,NSC,2015,12,28,12/28/2015
301,04:48,29.35,81.29,4.1,Bajura,NSC,2015,12,26,12/26/2015
302,03:14,27.79,86.08,4.1,Dolakha,NSC,2015,12,23,12/23/2015
303,10:16,29.44,81.69,5.5,Bajura,NSC/RSC,2015,12,18,12/18/2015
